epoch,box,cls,obj,kpt,Recall,Precision,mAP@50,F1,mAP
307,1.162,0.560,1.277,0.198,0.487,0.791,0.550,0.603,0.269
308,1.130,0.553,1.242,0.198,0.487,0.790,0.550,0.602,0.269
309,1.129,0.549,1.225,0.197,0.486,0.791,0.550,0.602,0.269
310,1.138,0.551,1.249,0.197,0.486,0.791,0.550,0.602,0.269
311,1.167,0.565,1.250,0.196,0.487,0.791,0.550,0.603,0.269
312,1.169,0.557,1.289,0.198,0.487,0.792,0.550,0.603,0.269
313,1.149,0.565,1.258,0.198,0.487,0.792,0.550,0.603,0.269
314,1.193,0.568,1.289,0.200,0.488,0.792,0.551,0.604,0.269
315,1.164,0.560,1.278,0.195,0.487,0.793,0.551,0.603,0.269
316,1.144,0.550,1.273,0.197,0.487,0.793,0.550,0.604,0.269
317,1.171,0.559,1.268,0.197,0.487,0.792,0.550,0.603,0.269
318,1.136,0.557,1.227,0.196,0.488,0.791,0.551,0.604,0.269
319,1.145,0.560,1.237,0.199,0.488,0.790,0.551,0.604,0.269
320,1.166,0.560,1.272,0.196,0.489,0.790,0.551,0.604,0.269
321,1.160,0.556,1.284,0.197,0.489,0.791,0.551,0.604,0.269
322,1.187,0.570,1.296,0.202,0.488,0.792,0.551,0.604,0.269
323,1.165,0.565,1.265,0.193,0.488,0.792,0.551,0.604,0.269
324,1.187,0.574,1.296,0.195,0.488,0.792,0.551,0.604,0.269
325,1.148,0.552,1.267,0.201,0.488,0.792,0.551,0.604,0.269
326,1.195,0.568,1.289,0.193,0.488,0.792,0.551,0.604,0.269
327,1.162,0.563,1.278,0.197,0.488,0.792,0.551,0.604,0.269
328,1.134,0.550,1.235,0.199,0.488,0.793,0.551,0.604,0.269
329,1.157,0.559,1.262,0.197,0.489,0.791,0.551,0.604,0.269
330,1.147,0.549,1.240,0.198,0.488,0.792,0.551,0.604,0.269
331,1.137,0.556,1.221,0.192,0.489,0.791,0.551,0.604,0.270
332,1.188,0.573,1.283,0.194,0.489,0.791,0.551,0.604,0.270
333,1.117,0.540,1.211,0.197,0.489,0.790,0.551,0.604,0.270
334,1.172,0.562,1.304,0.196,0.489,0.790,0.551,0.604,0.270
335,1.133,0.549,1.224,0.194,0.489,0.791,0.551,0.604,0.270
336,1.225,0.585,1.329,0.197,0.490,0.791,0.552,0.605,0.270
337,1.193,0.570,1.300,0.198,0.489,0.792,0.551,0.604,0.270
338,1.150,0.550,1.252,0.201,0.488,0.794,0.552,0.604,0.270
339,1.178,0.570,1.265,0.199,0.488,0.792,0.552,0.604,0.270
340,1.119,0.542,1.208,0.196,0.488,0.793,0.552,0.604,0.270
341,1.167,0.561,1.274,0.199,0.489,0.790,0.552,0.604,0.270
342,1.159,0.560,1.237,0.195,0.489,0.790,0.552,0.604,0.270
343,1.194,0.577,1.298,0.196,0.489,0.791,0.552,0.604,0.270
344,1.151,0.561,1.236,0.193,0.489,0.791,0.552,0.604,0.270
345,1.173,0.565,1.259,0.194,0.489,0.790,0.552,0.604,0.270
346,1.167,0.564,1.265,0.199,0.489,0.791,0.552,0.604,0.270
347,1.150,0.553,1.274,0.197,0.488,0.791,0.552,0.604,0.270
348,1.123,0.550,1.221,0.195,0.488,0.791,0.552,0.604,0.270
349,1.140,0.553,1.225,0.195,0.489,0.792,0.553,0.604,0.270
350,1.162,0.558,1.248,0.197,0.489,0.792,0.552,0.604,0.270
351,1.189,0.566,1.280,0.194,0.489,0.792,0.553,0.605,0.271
352,1.171,0.562,1.255,0.194,0.489,0.793,0.553,0.605,0.270
353,1.148,0.555,1.233,0.197,0.489,0.794,0.553,0.605,0.271
354,1.156,0.561,1.272,0.194,0.488,0.795,0.553,0.605,0.271
355,1.138,0.550,1.254,0.197,0.488,0.796,0.553,0.605,0.271
356,1.132,0.548,1.224,0.192,0.489,0.795,0.554,0.605,0.271
357,1.163,0.561,1.259,0.198,0.489,0.794,0.554,0.605,0.271
358,1.152,0.559,1.247,0.196,0.489,0.796,0.554,0.606,0.271
359,1.148,0.564,1.243,0.194,0.489,0.796,0.554,0.606,0.271
360,1.156,0.558,1.244,0.195,0.490,0.795,0.554,0.606,0.271
361,1.142,0.554,1.261,0.196,0.490,0.795,0.554,0.606,0.271
362,1.154,0.560,1.258,0.195,0.489,0.796,0.554,0.606,0.271
363,1.181,0.567,1.280,0.200,0.490,0.796,0.554,0.606,0.271
